name;country;city;company;system;ebikes;latitude;longitude
BIKI;Spain;Valladolid;Autobuses Urbanos de Valladolid S.A;No especificado;Sí;41,6522;-4,7243
Bilbaobizi;Spain;Bilbao;Lyft Inc.;No especificado;No especificado;43,263;-2,935
Bird Los Angeles;United States;Los Angeles, CA;Bird Rides, Inc.;No especificado;No especificado;34,0522;-118,2437
Bird Seattle;United States;Seattle, WA;Bird Rides, Inc.;No especificado;No especificado;47,6062;-122,3321
BisPArks BCycle;United States;Bismarck, ND;BCycle, LLC;BCycle;No especificado;46,8082;-100,7847
Bixi;Canada;Montréal, QC;Motivate International, Inc.;No especificado;Sí;45,508693;-73,553928
Bike Share Toronto;Canada;Toronto, ON;Motivate International, Inc.;No especificado;No especificado;43,653226;-79,3831843
Bizi;Spain;Zaragoza;UTE Serveo Servicios;No especificado;No especificado;41,6487908;-0,8895811
Bizkaibizi;Spain;Barakaldo;UTE Bizkaibizi;Bizkaibizi;No especificado;43,2966;-2,987
Bizkaibizi;Spain;Berango;UTE Bizkaibizi;Bizkaibizi;No especificado;43,3619;-2,9968
Bizkaibizi;Spain;Bilbao;UTE Bizkaibizi;Bizkaibizi;No especificado;43,2617;-2,9491
Bizkaibizi;Spain;Erandio;UTE Bizkaibizi;Bizkaibizi;No especificado;43,3029;-2,9756
Bizkaibizi;Spain;getxo;UTE Bizkaibizi;Bizkaibizi;No especificado;43,3476;-3,0088
Bizkaibizi;Spain;Leioa;UTE Bizkaibizi;Bizkaibizi;No especificado;43,3266;-2,9897
Bizkaibizi;Spain;Portugalete;UTE Bizkaibizi;Bizkaibizi;No especificado;43,318;-3,0214
Bizkaibizi;Spain;Santurtzi;UTE Bizkaibizi;Bizkaibizi;No especificado;43,328;-3,0335
Bizkaibizi;Spain;Sestao;UTE Bizkaibizi;Bizkaibizi;No especificado;43,3093;-3,0068
BL bike;Bosnia and Herzegovina;Banja Luka;Nextbike GmbH;Nextbike;No especificado;44,775;17,1994
Blue Bikes;United States;Boston, MA;Motivate International, Inc.;No especificado;Sí;42,3584308;-71,0597732
Bora!;Portugal;CIM Viseu Dão-Lafões;SOLTRÁFEGO, SA;Soltrafego;No especificado;40,656392;-7,912545
Boulder BCycle;United States;Boulder, CO;BCycle, LLC;BCycle;No especificado;40,00811;-105,26385
Brennus à vélo;France;Sens;Fifteen SAS;No especificado;No especificado;48,197815;3,282785
